index,rating,date,asin,fish,1,2,3,4,5,Projected Rating,Rating Difference
0,5.0,1285632000,B0001GUQ3O,Clams,0.2644320478752496,0.1949070582840462,0.2480432086682275,0.653077036562423,0.9140843986600258,3.77,-1.23
1,4.0,1131494400,B0001GUQ3O,Clams,0.1240272300765465,0.1799144726112723,0.4904212265675388,0.7848530595940326,0.8657654907206649,3.85,-0.1499999999999999
2,5.0,1307059200,B0006UFY46,Salmon,0.0844734067021184,0.0541464219683971,0.1470950138965605,0.8307903159431076,0.9881169289799124,4.23,-0.7699999999999996
3,1.0,1302825600,B0006UFY46,Salmon,0.9534910357857808,0.5968642068341762,0.2636493554290764,0.160930835681574,0.4279867321484484,2.38,1.38
4,5.0,1290124800,B0006UFY46,Salmon,0.1706730557947319,0.1207634228864247,0.2185772051338052,0.7452937363281373,0.9591264852420078,3.99,-1.0099999999999998
5,5.0,1273363200,B0006UFY46,Salmon,0.1273860140294256,0.1083755348877782,0.1659552290467232,0.7675175317993351,0.9768582497261246,4.1,-0.9000000000000004
6,5.0,1255910400,B0006UFY46,Salmon,0.0506606128924596,0.0628483567979162,0.2193249902450855,0.8877038527488802,0.9813796833549931,4.22,-0.7800000000000002
7,5.0,1139443200,B0006UFY46,Salmon,0.0465106665158561,0.04393146601476,0.1702922122741173,0.9058211181683764,0.9874469309331732,4.27,-0.7300000000000004
8,5.0,1138752000,B0006UFY46,Salmon,0.0423485049133225,0.0441025106115946,0.1862683046194211,0.9130882801101298,0.9861637440824512,4.27,-0.7300000000000004
9,5.0,1501286400,B0006UFY46,Salmon,0.0800500068249422,0.0612493816363655,0.157844130396446,0.8427177929305742,0.9867077385262936,4.22,-0.7800000000000002
10,5.0,1501113600,B0006UFY46,Salmon,0.0624192879180851,0.0476928868019854,0.129223012525282,0.8627817918616251,0.990678136291412,4.28,-0.7199999999999998
11,5.0,1499385600,B0006UFY46,Salmon,0.0705124372974007,0.0680477398982713,0.2102192848230772,0.8630928880379423,0.9791421625830672,4.19,-0.8099999999999996
12,5.0,1498608000,B0006UFY46,Salmon,0.0659534233383976,0.0506795595272261,0.1549739408442977,0.8555256591735365,0.988223794745904,4.25,-0.75
13,5.0,1493424000,B0006UFY46,Salmon,0.0740926184581613,0.0620804213845008,0.1750593484975328,0.8385825478283487,0.98432200852377,4.22,-0.7800000000000002
14,5.0,1491523200,B0006UFY46,Salmon,0.0852466437125787,0.0704616242468258,0.1635635520402469,0.8199771164962223,0.986016131475304,4.2,-0.7999999999999998
15,5.0,1491091200,B0006UFY46,Salmon,0.0541088584100899,0.0621674342617397,0.2332376223831831,0.894205163971002,0.9753790063265358,4.21,-0.79
