,rating,verified,date,description,summary,asin,fish,name,sentiment,positive
0,5,False,1285632000,"Why so excited? Because I have been trying the soupbases from Minor's for some years and they do add a distinguishing taste to the dishes were they are required. Not too long ago I ventured into preparing my first official New England Clam Chowder, the one with the cream, clams, potatoes and really any fine addition like celery, red bell pepper finely chopped, and the end result was delicious. I have used the Clam Base on several occasions for dishes that require that particular infusion of clam and the results have always made me look good around the dinner table. I use most of the Seafood line but since prices have kind of skyrocketed in the last years I settle for the Clam Base for it does bring the best in Seafood dishes. I also used the Fish Base, Seafood Base (tasty for a Bisque be that of Shrimp, Lobster-I do stick to Shrimp for I do not catch my own lobsters), Crab Base, Lobster Base, Chicken, etc., but as of late for the economics I have concentrated my money spending to this Clam Base and it pays to use it. Why 5 Stars? Because 4 do not seem to convey the joy of a tasty Fish Chowder, Seafood Stew, for those great people of amazon that love all things seafood this product can only increase the pleasure. I should add that the clams I bought at my local market did not (by a long shot!) made the mark. I am sure better clams will always make this tasty dish more delightful, kind of makes me want some fresh fat clams for the next one but no can do (demographics reason for now).",I give it 5 Shining Stars!,B0001GUQ3O,Clams,Minor&rsquo;s Clam Base - no-added MSG,0.9977911,1
1,4,False,1131494400,I use it to give many dishes that special something.  I prefer it to the Chicken one which tastes too sharp and oily.,Good not tinny,B0001GUQ3O,Clams,Minor&rsquo;s Clam Base - no-added MSG,0.997833,1
2,5,True,1307059200,I just received my order of canned Red Head Wild Sockeye Salmon few minutes ago and couldn't wait to taste it and WOW...........my kind of taste of real salmon. I've been looking for this taste of canned salmon for a while and I am happy that I finally found it. Delicious!!!!!,Delicious Red Head Wild Sockeye Salmon!!!!!,B0006UFY46,Salmon,"Redhead Wild Sockeye Salmon From Alaska, (12) 7.5 Oz. Cans",0.9977792,1
3,1,True,1302825600,"Ordered a few cases. It's barely edible. Too salty. I may have to donate it to the homeless. Can't eat it anymore. Shame on them for poor quality control. Only a lousy company has to overdo the salt in an unhealthy, despicable attempt to make it more palatable. No honor in that!! They overdo the food dye too. I smell at rat in the corporate management -- heavily pushing the dye and salt. Shameful!","Too salty, tastes lousy",B0006UFY46,Salmon,"Redhead Wild Sockeye Salmon From Alaska, (12) 7.5 Oz. Cans",-0.99901164,0
4,5,True,1290124800,"I've tried salmon before.  Whether it was fresh or canned.  This one though... all's I can say is Wow!  and Yum lol.  I wasn't expecting it to taste so great!  First time I tried this particular one.  I mixed it with frozen veggies, (corn, peas, carrots, and green beans).  I tossed it in the microwave, simple as that.  Squeezed some lime into it, mixed it and when I took a bite out that.  Man it tasted like it had been cooking for hours!  The flavor is just there and with all the great benefits it gives you, why wouldn't you want to eat it?  I'm definitely buying more when I start to see that I'm low on salmon.  This one's a keeper :D",So much great flavor! Mmm :),B0006UFY46,Salmon,"Redhead Wild Sockeye Salmon From Alaska, (12) 7.5 Oz. Cans",0.99784696,1
5,5,False,1273363200,"WILD-CAUGHT fish are free of any diseases that may pop up, even in the huge, (but not as huge as the ocean!) tanks used for farm-raised fish.  Salmon is supposed to be heart-healthy, and has far less, (if any), of the mercury found in albacore tuna.  And....salmon tastes yummy....especially sockeye salmon, (that is in these cans) -- which is reputed to be THE best-tasting salmon of all!

REDHEAD salmon, made by the PURE ALASKAN SALMON COMPANY, herein being reviewed, is very, very, Very, VERY tasty!  The ingredients are simply ""Wild Alaskan Sockeye Salmon and Salt"".  This is not the (much!) more expensive fileted canned salmon -- but the skin and bone content is kept to a minimum.  (Skin and bones -- which are in themselves very healthy eating -- can easily become almost unrecognizable, upon simply combining the salmon with other ingredients and mixing.)  Sodium content here is medium -- 270 miligrams per can.  The sodium helps to keep the salmon fresh, (a natural preservative, if you will), but it can easily be washed away by taking the open can, and pressing the just-removed top in, whilst you run cold water over it....

Sockeye salmon is RED salmon, (hence the name, REDHEAD).  Red salmon is slightly more fatty -- but much more tasty, (at least to me), than the pink variety of salmon.  (The extra fat gives the redder colour).
THIS brand of sockeye salmon, (REDHEAD) is amongst the tastiest sockeye salmon I have ever eaten!

This salmon comes in a nice, golden coloured can, with NO SEAMS!  Seams in cans containing any food have been known to leach toxic materials into that food -- but there is no worry of that here.  I bought my REDHEAD salmon on 9th September, 2009 -- and the expiration date reads July, 2012 -- so this salmon will stay fresh for a LONG time!  It also bears the ""OU"" symbol of the Orthodox Union -- meaning that this product meets the highest in kosher quality.

As attested to by the enclosures, (company priorities for safe, organic products, and serious stewardship of the atmosphere and planet -- plus some yummy recipes), the PURE ALASKA SALMON CO., which makes REDHEAD and other salmon, is totally committed to not only fine products -- but to the survival of their customers, (and all other human beings!), who inhabit this planet!

This is salmon caught in ALASKA.  It is made by the Pure Alaskan Salmon Company, of Burlingham, WAshington, 98225.  It is therefore a TOTALLY AMERICAN-MADE PRODUCT!  For those who care about such things, (like me!), this is VERY important -- and can even make the salmon tastier! : )

All in all -- and for so many, many reasons -- a very good choice to make when preparing salmon dishes!  Highly recommended!",L I T T L E......S A L M O N.....C O M P A N Y....T H A T.....C A N....!.!.!.!.!....: ),B0006UFY46,Salmon,"Redhead Wild Sockeye Salmon From Alaska, (12) 7.5 Oz. Cans",0.9977811,1
6,5,True,1255910400,"This is great salmon. I've gotten it many times. It's somewhat different in taste from pink salmon. This company also cans a very good pink salmon (some of the best I've tasted): Think Pink Wild Pink Salmon. Put a little variety in your salmon dining: try them both. Delicious and healthy, five times the omega-3's as chunk light tuna, twice that of albacore and no to negligible mercury.",Great salmon,B0006UFY46,Salmon,"Redhead Wild Sockeye Salmon From Alaska, (12) 7.5 Oz. Cans",0.99783725,1
7,5,False,1139443200,"I enjoyed your salmon!!! Besides being  healthy it's very  tasty. Really delicious. Yum!!!

I also take the opportunity to say the work you do is very interesting . It is good and rare to see people comitted with healthy and natural life style.

Thanks for the postcard and your touching message.",An amazing attention!,B0006UFY46,Salmon,"Redhead Wild Sockeye Salmon From Alaska, (12) 7.5 Oz. Cans",0.9977169,1
8,5,False,1138752000,I use this product for sandwiches and salads and also right out of the can when I'm really hungry and lazy.  The flavor is rich and the texture pleasing.  It seems to satisfy my appetite for long periods and I don't feel guilty when I eat it.  It's great.,Great food for quick and easy meals,B0006UFY46,Salmon,"Redhead Wild Sockeye Salmon From Alaska, (12) 7.5 Oz. Cans",0.9978702,1
9,5,True,1501286400,"I first ordered a case of this salmon in May of 2014, and just placed an order for another case, my eleventh case, this week. Redhead canned salmon is delicious, no matter how you slice it. My family is partial to salmon cakes and salmon salad. I love the fish and the consistent high quality of this product, and I appreciate the family owned business that produces it. Excellent customer service, excellent product. This company practices sustainable fishing, and the can lining does not contain BPH.",Delicious and Nutritious Fishes,B0006UFY46,Salmon,"Redhead Wild Sockeye Salmon From Alaska, (12) 7.5 Oz. Cans",0.9978616,1
